Recording timestamp	Event	Event value	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Recording media name	Recording media width	Recording media height	Eye movement type	Eye movement type index	Fixation point X	Fixation point Y	
570			-0.03726	0.16485	0.98561	-0.24082	0.18934	0.95192	fullstream.mp4	1920	1080	Fixation	2	1145	462	
580			-0.03885	0.19665	0.97970	-0.23417	0.15668	0.95949	fullstream.mp4	1920	1080	Fixation	2	1145	462	
590			-0.03664	0.16815	0.98508	-0.22683	0.18474	0.95625	fullstream.mp4	1920	1080	Fixation	2	1145	462	
600			-0.04020	0.20035	0.97890	-0.22255	0.15488	0.96254	fullstream.mp4	1920	1080	Fixation	2	1145	462	
610			-0.03719	0.17199	0.98440	-0.22637	0.18682	0.95596	fullstream.mp4	1920	1080	Fixation	2	1145	462	
620			-0.04097	0.20454	0.97800	-0.22167	0.15555	0.96264	fullstream.mp4	1920	1080	Fixation	2	1145	462	
630			-0.03630	0.17295	0.98426	-0.22523	0.18504	0.95657	fullstream.mp4	1920	1080	Fixation	2	1145	462	
640			-0.03694	0.19865	0.97937	-0.22247	0.15679	0.96225	fullstream.mp4	1920	1080	Fixation	2	1145	462	
650			-0.04065	0.16434	0.98557	-0.22575	0.17885	0.95763	fullstream.mp4	1920	1080	Fixation	2	1145	462	
660						-0.22648	0.15739	0.96122	fullstream.mp4	1920	1080	Fixation	2	1145	462	
670			-0.05375	0.15006	0.98721	-0.22588	0.17146	0.95895	fullstream.mp4	1920	1080	Fixation	2	1145	462	
680						-0.22809	0.15396	0.96139	fullstream.mp4	1920	1080	Fixation	2	1145	462	
690			-0.05650	0.14319	0.98808	-0.22673	0.17036	0.95894	fullstream.mp4	1920	1080	Fixation	2	1145	462	
700						-0.22888	0.15071	0.96172	fullstream.mp4	1920	1080	Fixation	2	1145	462	
710			-0.05857	0.13799	0.98870	-0.22538	0.16973	0.95937	fullstream.mp4	1920	1080	Fixation	2	1145	462	
720						-0.22952	0.14798	0.96199	fullstream.mp4	1920	1080	Fixation	2	1145	462	
730			-0.06088	0.13185	0.98940	-0.22850	0.16905	0.95876	fullstream.mp4	1920	1080	Fixation	2	1145	462	
