Recording timestamp	Event	Event value	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Recording media name	Recording media width	Recording media height	Eye movement type	Eye movement type index	Fixation point X	Fixation point Y	
0	RecordingStart											Saccade	1			
0			0.02773	0.15472	0.98757	-0.06769	0.16206	0.98446				Saccade	1			
10						-0.11502	0.17038	0.97864				Saccade	1			
20			-0.03044	0.17048	0.98489	-0.14128	0.20384	0.96876				Saccade	1			
30						-0.17024	0.19399	0.96612				Fixation	1	1101	391	
40			-0.04428	0.17937	0.98278	-0.16794	0.22590	0.95957				Fixation	1	1101	391	
50						-0.18051	0.20022	0.96298				Fixation	1	1101	391	
60			-0.04763	0.18257	0.98204	-0.17274	0.22340	0.95930				Fixation	1	1101	391	
70						-0.18079	0.19777	0.96343				Fixation	1	1101	391	
80			-0.04776	0.18262	0.98202	-0.17531	0.21702	0.96030				Fixation	1	1101	391	
90						-0.18001	0.19522	0.96410				Fixation	1	1101	391	
100			-0.04729	0.18204	0.98215	-0.17349	0.21482	0.96112				Fixation	1	1101	391	
110						-0.17832	0.19393	0.96467				Fixation	1	1101	391	
120			-0.04718	0.18276	0.98203	-0.17384	0.21501	0.96102				Fixation	1	1101	391	
130			-0.05130	0.22640	0.97268	-0.17359	0.19029	0.96626				Fixation	1	1101	391	
140			-0.04583	0.20551	0.97758	-0.17661	0.21502	0.96051				Fixation	1	1101	391	
150			-0.05025	0.23644	0.97035	-0.17145	0.19019	0.96666				Fixation	1	1101	391	
280			-0.04462	0.20775	0.97716	-0.17531	0.21404	0.96097	fullstream.mp4	1920	1080	Fixation	1	1101	391	
290			-0.04441	0.20180	0.97842	-0.17521	0.19156	0.96571	fullstream.mp4	1920	1080	Fixation	1	1101	391	
300			-0.04513	0.18498	0.98171	-0.17357	0.21101	0.96195	fullstream.mp4	1920	1080	Fixation	1	1101	391	
310			-0.04383	0.21852	0.97485	-0.17500	0.19502	0.96506	fullstream.mp4	1920	1080	Fixation	1	1101	391	
320			-0.04557	0.19495	0.97975	-0.17306	0.21490	0.96118	fullstream.mp4	1920	1080	Fixation	1	1101	391	
330			-0.04152	0.19913	0.97909	-0.17562	0.19653	0.96464	fullstream.mp4	1920	1080	Fixation	1	1101	391	
340			-0.04446	0.18269	0.98216	-0.17259	0.21122	0.96208	fullstream.mp4	1920	1080	Fixation	1	1101	391	
349	SyncPortOutHigh								fullstream.mp4	1920	1080	Fixation	1	1101	391	
350			-0.03970	0.19462	0.98007	-0.17673	0.19565	0.96462	fullstream.mp4	1920	1080	Fixation	1	1101	391	
360			-0.04397	0.18215	0.98229	-0.17248	0.21263	0.96179	fullstream.mp4	1920	1080	Fixation	1	1101	391	
370			-0.04121	0.21235	0.97633	-0.17602	0.19564	0.96475	fullstream.mp4	1920	1080	Fixation	1	1101	391	
380			-0.04441	0.19135	0.98052	-0.17318	0.21481	0.96118	fullstream.mp4	1920	1080	Fixation	1	1101	391	
390			-0.03969	0.19635	0.97973	-0.17692	0.19475	0.96476	fullstream.mp4	1920	1080	Fixation	1	1101	391	
400			-0.04315	0.18224	0.98231	-0.17309	0.21216	0.96178	fullstream.mp4	1920	1080	Fixation	1	1101	391	
410			-0.04012	0.21051	0.97677	-0.17632	0.19309	0.96521	fullstream.mp4	1920	1080	Fixation	1	1101	391	
420			-0.04253	0.19248	0.98038	-0.17412	0.21595	0.96075	fullstream.mp4	1920	1080	Fixation	1	1101	391	
430			-0.04181	0.22313	0.97389	-0.17522	0.19424	0.96518	fullstream.mp4	1920	1080	Fixation	1	1101	391	
440			-0.04342	0.19702	0.97944	-0.17357	0.21564	0.96092	fullstream.mp4	1920	1080	Fixation	1	1101	391	
450			-0.04147	0.20104	0.97870	-0.17498	0.19583	0.96490	fullstream.mp4	1920	1080	Fixation	1	1101	391	
460			-0.04363	0.18403	0.98195	-0.17185	0.21143	0.96217	fullstream.mp4	1920	1080	Fixation	1	1101	391	
470			-0.03906	0.19603	0.97982	-0.17528	0.19593	0.96482	fullstream.mp4	1920	1080	Fixation	1	1101	391	
480			-0.04487	0.18569	0.98158	-0.17334	0.21423	0.96128	fullstream.mp4	1920	1080	Fixation	1	1101	391	
490			-0.04096	0.21833	0.97502	-0.17323	0.19328	0.96573	fullstream.mp4	1920	1080	Fixation	1	1101	391	
500			-0.02080	0.19183	0.98121	-0.15482	0.20845	0.96570	fullstream.mp4	1920	1080	Saccade	2			
510			0.02761	0.21964	0.97519	-0.10651	0.16788	0.98004	fullstream.mp4	1920	1080	Saccade	2			
520			0.06901	0.18257	0.98077	-0.06125	0.16040	0.98515	fullstream.mp4	1920	1080	Saccade	2			
530			0.08276	0.16620	0.98261	-0.02921	0.14940	0.98835	fullstream.mp4	1920	1080	Saccade	2			
540			0.10627	0.15508	0.98217	-0.00346	0.15666	0.98765	fullstream.mp4	1920	1080	Saccade	2			
550			0.11883	0.15474	0.98078	0.01145	0.15639	0.98763	fullstream.mp4	1920	1080	Fixation	2	887	436	
560			0.12055	0.15385	0.98071	0.01413	0.15990	0.98703	fullstream.mp4	1920	1080	Fixation	2	887	436	
570			0.12200	0.15657	0.98010	0.01570	0.15722	0.98744	fullstream.mp4	1920	1080	Fixation	2	887	436	
580			0.12061	0.15288	0.98086	0.01583	0.16168	0.98672	fullstream.mp4	1920	1080	Fixation	2	887	436	
590			0.11852	0.15621	0.98059	0.01378	0.15763	0.98740	fullstream.mp4	1920	1080	Fixation	2	887	436	
600			0.11759	0.14936	0.98177	0.01278	0.16273	0.98659	fullstream.mp4	1920	1080	Fixation	2	887	436	
610			0.11593	0.15152	0.98163	0.01069	0.15818	0.98735	fullstream.mp4	1920	1080	Fixation	2	887	436	
620			0.11549	0.14637	0.98247	0.01011	0.16322	0.98654	fullstream.mp4	1920	1080	Fixation	2	887	436	
630			0.11592	0.14691	0.98233	0.00799	0.15856	0.98732	fullstream.mp4	1920	1080	Fixation	2	887	436	
640			0.11854	0.14538	0.98225	0.00816	0.16573	0.98614	fullstream.mp4	1920	1080	Fixation	2	887	436	
650						0.00581	0.15787	0.98744	fullstream.mp4	1920	1080	Fixation	2	887	436	
660			0.12563	0.15058	0.98058	0.00649	0.16890	0.98561	fullstream.mp4	1920	1080	Fixation	2	887	436	
670						0.00498	0.15987	0.98713	fullstream.mp4	1920	1080	Fixation	2	887	436	
680			0.12469	0.15057	0.98070	0.00573	0.16792	0.98578	fullstream.mp4	1920	1080	Fixation	2	887	436	
